priority,language,id,headword,enTerms,jaTranslation,jmdictSense,note,humanDecision,humanNote
P3(多くは同義語差),english,en-05973,stack,stack,積み重ね,pile; accumulation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-05976,housewares,housewares,家庭用品,household articles,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06000,underlying,underlying,基礎的な,fundamental; basic,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06011,mathematical,mathematical,数学の,mathematics,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06016,diagnostic,diagnostic,診断の,diagnosis; medical examination,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06023,confidential,confidential,機密の,secrecy; highly classified information,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06025,statutory,statutory,法定の,legal; designated by law,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06032,retired,retired,引退した,retirement,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06048,protective,protective,保護の,protection; safeguard; guardianship,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06085,opt,opt,選択する,choice; selection; option,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06106,seasonal,seasonal,季節の,season; time of year,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06110,constitutional,constitutional,憲法の,constitution; rules; regulation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06137,floral,floral,花の,flower; blossom; bloom,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06142,neutral,neutral,中立の,neutrality; break between the light meal and the actual serving of tea (during a formal tea ceremony),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06143,fisher,fisher,漁夫,fisherman,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06145,prospective,prospective,将来の,"future; (future) prospects; bringing (from abroad, another region, etc.)",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06160,haven,haven,避難所,shelter; safe shelter; evacuation shelter,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06173,dimensional,dimensional,寸法の,measurement; size; extent,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06177,resolved,resolved,決心した,determination; resolution,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06240,turner,turner,回す人，旋盤工,lathe operator,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06250,civic,civic,市民の,citizen (of a country); citizenry; citizen (of a city),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06261,redeem,redeem,引き換える,to exchange (things); to convert (currency); to be in contrast (to),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06264,authentic,authentic,本物の,genuine article; real thing; real deal,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06270,architectural,architectural,建築の,construction; architecture (of buildings),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06279,mart,mart,市場,(town) market; (street) market; marketplace,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06288,situated,situated,位置している,place; position; location,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06289,comparative,comparative,比較の,comparison,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06292,herbal,herbal,草の,grass; weed; herb,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06345,thy,thy,なんじの,what time; which hour; intractable (diseases),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06357,pal,pal,親友,close friend; bosom friend; buddy,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06366,atomic,atomic,原子の,atom,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06368,symposium,symposium,討論会,debate; panel discussion; forum,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06374,faced,faced,面した,face; surface; mask (esp. a noh or kyogen mask),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06388,deviant,deviant,逸脱した，異常な,abnormal; unusual; extraordinary,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06400,sandy,sandy,砂の,sand; grit; fine gravel,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06406,mandatory,mandatory,強制的な,forced; compulsory,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06426,surgical,surgical,外科の,surgery (branch of medicine); department of surgery,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06433,imperial,imperial,帝国の,empire; Empire of Japan,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06459,isle,isle,島,"island; one's territory (of a sex worker, organized crime gang, etc.); one's turf",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06460,stylish,stylish,流行の,fashion; trend; vogue,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06464,grocery,grocery,食料品,foodstuff; groceries,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06468,depot,depot,貯蔵所,storage place,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06490,probe,probe,精査,close investigation; careful examination; scrutiny,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06498,packed,packed,満員の,full house; no vacancy; sold out,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06499,excited,excited,興奮した,excitement; stimulation; agitation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06512,chuck,chuck,放り投げる，ぽいと捨てる,to throw; to toss; to fling,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06515,dale,dale,谷,valley; ravine; gorge,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06530,spatial,spatial,空間の,space; room; airspace,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06556,advocacy,advocacy,擁護,protection; defence; support,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06558,stud,stud,種馬,studhorse; stallion; breeding horse,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06586,sensitivity,sensitivity,敏感,sensitive; alert; aware,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06590,isolated,isolated,孤立した,isolation; being alone; being friendless,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06594,divine,divine,神聖な,holiness; sacredness; sanctity,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06598,technological,technological,科学技術の,science and technology; technology; scientific techniques,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06599,syndicate,syndicate,企業合同,(a) trust,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06623,governmental,governmental,政府の,government; administration; ministry,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06631,sacred,sacred,神聖な,holiness; sacredness; sanctity,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06654,enhancement,enhancement,増進,promoting; increase; advance,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06664,baseline,baseline,基準値,standard value; reference value; nominal value,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06665,cab,cab,タクシー,taxi,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06699,recreational,recreational,娯楽の,amusement; entertainment; recreation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06714,josh,josh,からかう,to tease; to make fun of; to poke fun at,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06722,provincial,provincial,地方の,district; region; area,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06725,ripe,ripe,熟した,deeply; keenly; severely,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06740,enabling,enabling,可能にする，能力を与える,to allow; to enable; to make possible,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06751,vocal,vocal,声の,voice; singing (of a bird); chirping (of an insect),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06768,span,span,期間,period; term; interval,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06785,appliance,appliance,電化製品,electrical appliances,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06791,tub,tub,浴槽,bathtub,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06801,therapeutic,therapeutic,治療の,(medical) treatment; care; therapy,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06805,bobby,bobby,巡査,police officer; policeman; constable,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06842,repository,repository,倉庫,storehouse; warehouse; godown,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06862,congressional,congressional,国会の,National Diet; legislative assembly of Japan (1947-); Imperial Diet,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06863,synopsis,synopsis,あらすじ,outline; summary; argument,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06869,absent,absent,不在の,absence; disregard; indifference,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06870,photographic,photographic,写真の,photograph; photo; picture,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06908,scroll,scroll,巻物,makimono; handscroll; rolled book,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06911,additionally,additionally,さらに,furthermore; again; after all,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06913,fellowship,fellowship,親交,intimacy; friendship; friendly relations,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06917,martial,martial,軍事の,military affairs,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06920,execute,execute,実行する,execution (e.g. of a plan); carrying out; (putting into) practice,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06937,confused,confused,混乱した,disorder; chaos; confusion,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06938,compiler,compiler,編集者,"editor (in publishing, etc.)",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-06970,differential,differential,差別的な,discriminatory; discriminative,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07006,bare,bare,裸の,nakedness; nudity; bareness,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07020,assuming,assuming,ごう慢な,haughty; arrogant; insolent,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07021,monetary,monetary,貨幣の,money; currency; coin,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07022,pit,pit,くぼみ,hollow; cavity; dent,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07038,compile,compile,編集する,editing; compilation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07045,bridal,bridal,花嫁の,bride,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07046,annex,annex,併合する,merger; joining into one; amalgamation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07049,inspiration,inspiration,ひらめき,flair; flash; insight,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07050,tribal,tribal,部族の,tribe,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07051,affecting,affecting,心を打つ,to touch (a person's) heart; to impress (a person),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07053,rebate,rebate,払い戻し,repayment; refund; payback,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07061,aggregate,aggregate,総計,total; sum total; total amount,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07067,ciao,ciao,やあ,yo!; hello there!; hi!,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07069,prep,prep,準備，予習,preparation for a lesson,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07075,injured,injured,負傷した,injury; wound,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07081,courier,courier,宅配業者,package delivery company,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07092,tribute,tribute,賛辞,eulogy; compliment,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07095,immune,immune,免疫の,immunity; immunization; immunisation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07105,genesis,genesis,起源,origin; beginning; source,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07111,letting,letting,貸家,house for rent,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07175,cognitive,cognitive,認知の,acknowledgement; acknowledgment; recognition,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07185,registrar,registrar,記録係,record keeper; recorder; archivist,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07188,ruling,ruling,判決,judicial decision; judgement; judgment,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07233,randy,randy,みだらな,obscene; indecent; lewd,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07236,proprietary,proprietary,独占的な，専有の,exclusive possession; sole ownership; monopoly,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07251,decent,decent,きちんとした,properly; accurately; exactly,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07310,bizarre,bizarre,奇妙な,strange; odd; peculiar,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07329,swap,swap,交換する,exchange; interchange; switching,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07333,accomplished,accomplished,熟達した,mastery,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07351,replica,replica,複製,reproduction; duplication; reprinting,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07360,nuke,nuke,核兵器,nuclear weapon,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07374,vocational,vocational,職業の,occupation; profession; job,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07385,batch,batch,一回分,dose; installment; instalment,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07408,amend,amend,修正する,amendment; correction; revision,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07440,vulnerable,vulnerable,傷つきやすい,fragile; brittle; delicate,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07454,respiratory,respiratory,呼吸の,breathing; respiration; knack,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07467,colonial,colonial,植民地の,colony; (Japanese) settlement (in Brazil),JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07493,patio,patio,中庭,courtyard; quadrangle; middle court,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07527,lonely,lonely,孤独な,solitude; loneliness; isolation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07528,nonprofit,nonprofit,非営利の,non-profit; not-for-profit; non-commercial,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07549,consortium,consortium,企業連合,cartel; syndicate,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07569,allied,allied,同盟した,alliance; union; league,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07633,priest,priest,聖職者,clergyman; churchman; clergy,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07639,locale,locale,現場,"actual spot; scene (of a crime, accident, etc.); (on) site",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07663,welsh,welsh,踏み倒す,to trample down; to crush underfoot; to kick down,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07673,disturbed,disturbed,動揺した，心を乱された,shaking; trembling; pitching,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07695,elder,elder,年上の,older; senior,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07696,sonic,sonic,音の,sound; noise; (musical) note,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07705,providence,providence,神意,divine will,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07714,mighty,mighty,強力な,powerful; strong; herculean strength,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07731,synthetic,synthetic,合成の,composition; synthesis; compounding,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07753,sponsorship,sponsorship,後援，協賛,support; mutual aid; cooperation,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07757,proceeding,proceeding,進行,"moving forward (e.g. of a vehicle); onward movement; progress (of work, activities, etc.)",JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07796,porter,porter,運搬人,carrier; conveyor,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07810,fabulous,fabulous,素晴らしい,wonderful; splendid; magnificent,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07818,ecological,ecological,生態学の,ecology,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07832,shipment,shipment,積み荷,load; freight; cargo,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07869,eternal,eternal,永遠の,eternity; perpetuity; permanence,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
P3(多くは同義語差),english,en-07880,metric,metric,指標,index; indices; indicator,JMdictで和訳語は実在するが英語意味と語彙一致せず。多くは同義語/語形/多義の差(誤りではない)。要目視,,
