priority,language,id,headword,currentTags,suggestedTags,answer,example,exampleForm,dictionaryPos1,dictionaryPos2,decisionStatus,reason,confidence,humanDecision,humanNote
P3,english,en-08397,abandoned,名詞,,見捨てられた,The abandoned house stood at the end of the street.,abandoned,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-09000,heated,名詞,,熱せられた,She poured the heated milk into the cup.,heated,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-09228,polished,名詞,,磨かれた,The polished floor shone in the morning light.,polished,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-09639,touched,名詞,,感動した,He touched me on the cheek.,touched,adjective,adjective|verb,multiple_pos_record_ambiguous,分詞(touched)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-20108,crossed,名詞,,交差した,I crossed the river by boat.,crossed,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(crossed)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-20156,rotten,名詞,,腐敗した,Throw away the rotten apples in the box.,rotten,adjective,adjective|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,adverb]/answer曖昧/慎重語→人手",0,,
P3,english,en-20311,oath,形容詞,,誓い,The new doctors took an oath together.,oath,noun,noun|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[noun,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-20334,cursed,名詞,,のろわれた,"In the tale, the cursed ring brought bad luck.",cursed,adjective,adjective|verb|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb,adverb]/answer曖昧/慎重語→人手",0,,
P3,english,en-20411,suspicion,形容詞,,疑い,The strange call raised suspicion among the neighbors.,suspicion,noun,noun|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[noun,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-20488,vicious,動詞,,悪意のある,The vicious rumor hurt her feelings badly.,vicious,adjective,adjective|proper noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,proper noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-20561,shiny,動詞,,光る,She polished the shiny silver spoons.,shiny,adjective,adjective|noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-20733,exploded,名詞,,爆発した,It exploded with a loud noise.,exploded,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(exploded)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-21293,blasted,名詞,,いまいましい，のろわれた,,,adjective,verb|adjective|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb,adverb]/answer曖昧/慎重語→人手",0,,
P3,english,en-21368,sneaky,動詞,,こそこそする,The sneaky cat stole fish from the kitchen.,sneaky,adjective,adjective|noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-21500,stranded,名詞,,立ち往生した,The stranded bus waited for help in the snow.,stranded,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-21655,pronounced,名詞,,はっきりした,There is a pronounced difference between the two plans.,pronounced,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-21664,scrambled,名詞,,かき混ぜた,She scrambled the eggs in a small pan.,scrambled,adjective,adjective|verb,multiple_pos_record_ambiguous,分詞(scrambled)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-21955,concentrated,名詞,,集中した,He listened with a concentrated expression.,concentrated,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-21978,roasted,名詞,,焼いた,We ate roasted chicken for dinner.,roasted,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22009,liberated,名詞,,解放された,The liberated birds flew back to the forest.,liberated,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22027,faded,名詞,,色あせた,He likes to wear faded jeans.,faded,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22071,wedded,名詞,,結婚した,The wedded couple smiled for the photograph.,wedded,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22115,reversed,名詞,,逆にした,He reversed the order of the names on the list.,reversed,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(reversed)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-22134,drought,動詞,,干ばつ,The long drought dried up the small river.,drought,noun,noun|proper noun,multiple_pos_record_ambiguous,"例文なし。多品詞[noun,proper noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-22142,wen,動詞,,こぶ,,,noun,noun|adverb|conjunction|pronoun|proper noun,multiple_pos_record_ambiguous,"例文なし。多品詞[noun,adverb,conjunction,pronoun,proper noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-22218,whacked,名詞,,疲れ果てた,,,adjective,verb|adjective,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22327,pinched,名詞,,困って,She pinched my arm sharply.,pinched,adjective,verb|adjective,multiple_pos_record_ambiguous,分詞(pinched)は動詞義/形容詞義の両方あり(辞書にadjective)・例文は動詞だがレコード採用義要確認→人手,0,,
P3,english,en-22445,ghastly,動詞,,ぞっとする,The old house had a ghastly appearance at night.,ghastly,adjective,adjective|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,adverb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22642,persuasive,動詞,,説得力のある,Her persuasive speech changed many opinions.,persuasive,adjective,adjective|noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-22648,radiant,動詞,,輝く,The bride wore a radiant smile all day.,radiant,adjective,adjective|noun,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,noun]/answer曖昧/慎重語→人手",0,,
P3,english,en-22716,shabby,名詞,,古ぼけた,He still wears that shabby brown coat.,shabby,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22792,hardcore,動詞,,筋金入りの，徹底した,,,adjective,adjective|noun|adverb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,noun,adverb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22961,strained,名詞,,緊張した,There was a strained silence after the argument.,strained,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P3,english,en-22963,contracted,名詞,,縮めた,"""Do not"" is often contracted to ""don't"".",contracted,adjective,adjective|verb,multiple_pos_record_ambiguous,"例文なし。多品詞[adjective,verb]/answer曖昧/慎重語→人手",0,,
P4,english,en-00126,between,名詞,,の間に,The park is between the school and the bank.,between,adverb,preposition|noun,dictionary_sources_conflict,"例文文法(形容詞)が辞書品詞[adverb,preposition,noun]に無い→人手(辞書体系差/例文特殊)",0,,
